artist,name,category,position,score,from,to,us,uk,de,fr,ca,au
"Jason Mraz","Waiting For My Rocket To Come","album","1161","15840.243","Apr 2003","Jun 2004","55","","","","","",""
"Jason Mraz","We Dance. (EP)","album",""," 319.253","May 2008","May 2008","52","","","","","",""
"Jason Mraz","We Sing, We Dance, We Steal Things","album","322","39495.310","Apr 2008","Aug 2014","3","8","14","6","3","3",""
"Jason Mraz","We Sing, We Dance, We Steal Things / Waiting For My Rocket To Come","album","","  59.366","Oct 2009","Nov 2009","","","","129","","",""
"Jason Mraz","Wordplay","song",""," 622.433","Jul 2005","Aug 2005","81","","","","","",""
"Jason Mraz","Yes!","album","","3175.900","Jul 2014","Feb 2015","2","18","22","36","2","17",""
"Jason Mraz & Colbie Caillat","Lucky","song","","2231.359","May 2008","Feb 2010","48","","22","","","",""
"Jawsh 685 & Jason Derulo","Savage Love (Laxed - Siren Beat)","song","127","18853.852","Jun 2020","Jun 2021","1","1","1","6","1","1",""
"Jax Jones","Snacks","album","1717","11272.346","Jan 2019","Jun 2021","","9","","","","",""
"Jax Jones & Bebe Rexha","Harder","song",""," 663.102","Jul 2019","Oct 2019","","23","","","","",""
"Jax Jones & RAYE","You Don't Know Me","song","1754","5285.311","Dec 2016","Jan 2018","","3","3","6","70","12",""
"Jax Jones, Demi Lovato & Stefflon Don","Instruction","song","","1384.332","Jun 2017","Nov 2017","","13","31","145","","",""
"Jax Jones, Mabel & Rich The Kid","Ring Ring","song",""," 709.849","Jul 2018","Oct 2018","","12","","","","",""
"Jay Rock, Kendrick Lamar, Future & James Blake","King's Dead","song","","3179.196","Jan 2018","Jun 2018","21","50","","","23","",""
"Jay Sean & Lil' Wayne","Down","song","655","9961.737","Jul 2009","Feb 2012","1","3","9","17","3","2",""
"Jay Sean & Lil' Wayne","Hit The Lights","song",""," 361.942","Feb 2011","Jun 2011","18","67","62","","","18",""
"Jay Sean & Nicki Minaj","2012 (It Ain't The End)","song","","1449.309","Aug 2010","Jan 2011","31","9","","","23","40",""
"Jay Sean & Pitbull","I'm All Yours","song",""," 651.377","May 2012","Oct 2012","85","","40","107","","13",""
"Jay Sean & Sean Paul","Make My Love Go","song","","1058.617","Mar 2016","Aug 2016","","49","22","","","",""
"Jay Sean, Sean Paul & Lil' Jon","Do You Remember?","song","","3975.291","Nov 2009","Nov 2010","10","13","","13","11","7",""
"Jay-Z","4:44","album","","8953.246","Jul 2017","Feb 2018","1","3","15","28","1","3",""
"Jay-Z","4:44","song",""," 300.103","Jul 2017","Aug 2017","35","73","","84","69","",""
"Jay-Z","99 Problems","song","1937","4876.273","May 2004","Aug 2013","30","12","67","","","",""
"Jay-Z","American Gangster","album","","8098.937","Nov 2007","May 2008","1","30","99","58","3","",""
"Jay-Z","Anything","song","","2220.018","Feb 2000","Apr 2000","55","18","","","","",""
"Jay-Z","Blue Magic","song",""," 612.271","Oct 2007","Nov 2007","55","","","","","",""
"Jay-Z","Blueprint 2.1","album","","3827.138","Apr 2003","Jul 2003","17","","","","","",""
"Jay-Z","Can I Get A ...","song","","  51.939","May 2004","Jun 2004","","85","","","","",""
"Jay-Z","Change Clothes","song","1295","6520.466","Nov 2003","May 2004","10","32","54","","","46",""
"Jay-Z","Chapter One","album",""," 104.672","Mar 2002","Mar 2002","","65","","","","",""
"Jay-Z","Crown","song","","  53.885","Jul 2013","Aug 2013","100","","","","","",""
"Jay-Z","D.O.A. (Death Of Auto-Tune)","song",""," 611.359","Jul 2009","Sep 2009","24","79","","","","",""
"Jay-Z","Dirt Off Your Shoulder","song","601","10403.469","Jan 2004","Jul 2004","5","96","","","","",""
"Jay-Z","Do It Again (Put Ya Hands Up)","song","","1919.579","Jan 2000","Mar 2000","65","","","","","",""
"Jay-Z","Excuse Me Miss","song","1148","7121.652","Feb 2003","Jul 2003","8","17","67","","","38",""
"Jay-Z","Girls, Girls, Girls","song","1578","5682.032","Oct 2001","May 2004","17","11","86","","","",""
"Jay-Z","Hard Knock Life (Ghetto Anthem)","song","","  30.028","Jul 2008","Jul 2008","","98","","","","",""
"Jay-Z","Hits Collection: Volume One","album","","1974.055","Nov 2010","Jul 2013","43","20","","","","",""
"Jay-Z","I Just Wanna Love U (Give It 2 Me)","song","700","9551.329","Oct 2000","May 2004","11","17","75","76","","",""
"Jay-Z","Izzo (Hova)","song","813","8889.988","Jul 2001","Jun 2004","8","21","","","","23",""
"Jay-Z","Jigga","song","","1746.342","Jan 2002","Mar 2002","66","","","","","",""
"Jay-Z","Kill Jay Z","song",""," 105.717","Jul 2017","Aug 2017","55","","","","","",""
"Jay-Z","Kingdom Come","album","","8745.626","Nov 2006","Apr 2007","1","35","76","79","6","",""
"Jay-Z","Kingdom Come","song",""," 127.394","Dec 2006","Dec 2006","98","","","","","",""
"Jay-Z","Live In Brooklyn","album",""," 311.234","Oct 2012","Nov 2012","36","","","","","",""
"Jay-Z","Lost One","song","","1092.734","Dec 2006","Feb 2007","58","","","","","",""
"Jay-Z","Magna Carta Holy Grail","album","1698","11289.564","Jul 2013","Apr 2014","1","1","9","12","1","2",""
"Jay-Z","Marcy Me","song","","  75.952","Jul 2017","Aug 2017","90","","","","","",""
"Jay-Z","Moonlight","song","","  78.699","Jul 2017","Aug 2017","86","","","","","",""
"Jay-Z","MTV Unplugged","album","","6592.334","Jan 2002","May 2002","31","","","","","",""
"Jay-Z","Picasso Baby","song","","  58.299","Jul 2013","Aug 2013","91","","","","","",""
"Jay-Z","Roc Boys (And The Winner Is)...","song",""," 892.583","Nov 2007","Jan 2008","63","","","","","",""
"Jay-Z","Show Me What You Got","song","","3512.112","Oct 2006","Feb 2007","8","38","","","","",""
"Jay-Z","Swagga Like Us","song","","2886.636","Sep 2008","Feb 2009","5","33","","","19","",""
"Jay-Z","The Black Album","album","384","35917.278","Nov 2003","Jul 2013","1","34","47","66","","",""
"Jay-Z","The Black Album: Acappella","album",""," 496.401","May 2004","Jun 2004","106","","","","","",""
"Jay-Z","The Blueprint","album","780","22185.992","Sep 2001","Jun 2002","1","30","55","73","3","",""
"Jay-Z","The Blueprint 2: The Gift & The Curse","album","1006","17887.705","Nov 2002","Jun 2003","1","23","61","79","8","",""
"Jay-Z","The Blueprint 3","album","1165","15707.637","Sep 2009","Aug 2012","1","4","22","20","1","9",""
"Jay-Z","The Blueprint: Collector's Edition","album",""," 435.326","Sep 2009","Oct 2009","30","","","","","",""
"Jay-Z","The Dynasty -  Roc La Familia 2000","album","","  63.902","Nov 2000","Nov 2000","","","98","","","",""
"Jay-Z","The Dynasty - Roc La Familia","album","929","19039.986","Nov 2000","Jul 2001","1","86","","","5","",""
"Jay-Z","The Hits Collection - Volume One","album","","  48.957","Nov 2010","Dec 2010","","","89","","","",""
"Jay-Z","The Story Of O.J.","song",""," 383.847","Jul 2017","Aug 2017","23","88","","103","53","",""
"Jay-Z","Tom Ford","song","","1522.517","Jul 2013","Dec 2013","39","","","","","",""
"Jay-Z","Vol 3: Life & Times of S Carter","album","419","33762.256","Jan 2000","Jan 2001","1","","","","8","",""
"Jay-Z","Vol. 2... Hard Knock Life","album","","1543.157","Jan 2000","Feb 2000","135","","","","","",""
"Jay-Z & Alicia Keys","Empire State Of Mind","song","376","13306.487","Sep 2009","Oct 2016","1","2","11","8","3","4",""
"Jay-Z & Damian Marley","Bam","song",""," 163.739","Jul 2017","Aug 2017","47","93","","124","","",""
"Jay-Z & Frank Ocean","Caught Their Eyes","song","","  97.509","Jul 2017","Aug 2017","63","","","","","",""
"Jay-Z & Frank Ocean","Oceans","song","","  62.606","Jul 2013","Aug 2013","83","","","","","",""
"Jay-Z & Gloria Carter","Smile","song",""," 104.628","Jul 2017","Aug 2017","56","","","","","",""
"Jay-Z & Justin Timberlake","Holy Grail","song","1272","6602.807","Jul 2013","Mar 2014","4","7","24","40","13","42",""
"Jay-Z & Kanye West","Gotta Have It","song",""," 742.485","Jan 2012","Apr 2012","69","","","","","",""
"Jay-Z & Kanye West","Lift Off","song","","  30.454","Aug 2011","Aug 2011","","48","","","","",""
"Jay-Z & Kanye West","Niggas in Paris","song","895","8392.647","Aug 2011","Nov 2014","5","10","40","28","16","",""
"Jay-Z & Kanye West","No Church In The Wild","song",""," 777.368","Feb 2012","Feb 2015","72","37","","171","","",""
"Jay-Z & Kanye West","Watch The Throne","album","919","19209.020","Aug 2011","Feb 2016","1","3","2","10","1","2",""
"Jay-Z & Kanye West","Who Gon Stop Me","song",""," 165.514","Aug 2011","Sep 2011","44","","","","","",""
"Jay-Z & Kanye West & Otis Redding","Otis","song","","2484.265","Jul 2011","May 2013","12","28","","69","37","42",""
"Jay-Z & Linkin Park","Collision Course","album","716","23335.828","Nov 2004","Aug 2017","1","15","5","20","6","8",""
"Jay-Z & Linkin Park","Numb/Encore","song","366","13444.328","Nov 2004","Aug 2017","20","14","4","5","","3",""
"Jay-Z & Memphis Bleek","Hey Papi","song","","2994.307","Aug 2000","Nov 2000","76","","","","","",""
"Jay-Z & Mr Hudson","Why I Love You","song",""," 116.093","Aug 2011","Dec 2011","","87","","56","","",""
"Jay-Z & Mr Hudson","Young Forever","song","","3831.815","Sep 2009","Jul 2018","10","10","","128","21","28",""
"Jay-Z & R Kelly","Guilty Until Proven Innocent","song","","1513.601","Apr 2001","Jun 2001","82","","","","","",""
"Jay-Z & Rick Ross","F*ckwithmeyouknowigotit","song",""," 578.595","Jul 2013","Sep 2013","64","","","","","",""
"Jay-Z & Swizz Beatz","On To The Next One","song","","1173.707","Jan 2010","May 2010","37","38","","","","",""
"Jay-Z & UGK","Big Pimpin'","song","1023","7588.291","Apr 2000","Sep 2000","18","29","","","","",""
"Jay-Z, Beanie Sigel & Memphis Bleek","Change The Game","song","","2531.687","Feb 2001","May 2001","86","","","","","",""
"Jay-Z, Bono, Edge & Rihanna","Stranded (Haiti Mon Amour)","song",""," 287.158","Jan 2010","Feb 2010","16","41","","","6","",""
"Jay-Z, Rihanna & Kanye West","Run This Town","song","1551","5773.047","Aug 2009","Jul 2012","2","1","18","","6","9",""
"Jazmine Sullivan & H.E.R.","Girl Like Me","song",""," 115.218","Jan 2021","Jan 2021","97","","","","","",""
"Jazzy Bazz & Nekfeu","Eternite","song","","  81.452","Sep 2018","Oct 2018","","","","46","","",""
"Jean Marie, Marta Sanchez & Flo-Rida","Basketball","song","","   4.630","Apr 2017","May 2017","","","","","","",""
"Jean-Jacques Goldman","2cd originaux: Non homologue / Positif","album","","  22.958","Oct 2004","Oct 2004","","","","189","","",""
"Jean-Jacques Goldman","2CD: Positif / Non homologue","album","","  98.928","Sep 2015","Nov 2015","","","","115","","",""
"Jean-Jacques Goldman","81-89 - La collection","album",""," 133.393","Dec 2011","Jan 2014","","","","113","","",""
"Jean-Jacques Goldman","Chansons pour les pieds","album","1595","11982.467","Nov 2001","Jan 2017","","","","1","","",""
"Jean-Jacques Goldman","En passant","album",""," 223.851","Mar 2001","Sep 2017","","","","102","","",""
"Jean-Jacques Goldman","Ensemble","song","","   6.656","Mar 2015","Mar 2015","","","","149","","",""
"Jean-Jacques Goldman","Entre gris clair et gris fonce","album","","  12.504","Sep 2013","Sep 2013","","","","177","","",""
"Jean-Jacques Goldman","Envole-moi","song","","  39.137","Nov 2012","Feb 2013","","","","150","","",""
"Jean-Jacques Goldman","Et l'on n'y peut rien","song",""," 876.523","Jun 2003","Oct 2003","","","","7","","",""
"Jean-Jacques Goldman","La collection 1990 2001","album","","  88.348","Dec 2012","Jan 2013","","","","74","","",""
"Jean-Jacques Goldman","Non homologue","album","","  20.717","May 2014","Jun 2014","","","","165","","",""
"Jean-Jacques Goldman","Pas toi","song","","   5.893","Jan 2013","Feb 2013","","","","183","","",""
"Jean-Jacques Goldman","Puisque tu pars","song",""," 105.218","Mar 2013","Jul 2018","","","","74","","",""
"Jean-Jacques Goldman","Singulier 81/89","album","","6725.982","Apr 2011","Aug 2018","","","","11","","",""
"Jean-Jacques Goldman","Tournee 98 en passant","album",""," 126.894","Jan 2000","Sep 2013","","","","64","","",""
"Jean-Jacques Goldman","Un tour ensemble","album","","5519.591","Jun 2003","Sep 2013","","","","1","","",""
"Jean-louis Aubert","A l'eau","song","","   4.685","Nov 2012","Nov 2012","","","","200","","",""
"Jean-louis Aubert","Ailleurs","song",""," 488.297","May 2006","Sep 2006","","","","51","","",""
"Jean-louis Aubert","Alter ego","song",""," 743.670","Dec 2001","Apr 2017","","","","31","","",""
"Jean-louis Aubert","Aubert chante Houellebecq - Les parages du vide","album","","1201.855","Apr 2014","Jan 2015","","","","2","","",""
"Jean-louis Aubert","Comme un accord","album","","5165.809","Nov 2001","Dec 2012","","","","9","","",""
"Jean-louis Aubert","Commun accord","song",""," 232.659","Apr 2002","Jul 2002","","","","78","","",""
"Jean-louis Aubert","Demain sera parfait","song",""," 145.505","Jan 2011","Apr 2011","","","","55","","",""
"Jean-louis Aubert","Ideal standard","album","","5582.650","Nov 2005","Jun 2007","","","","3","","",""
"Jean-louis Aubert","Il y a longtemps que je t'aime","song",""," 572.797","May 2008","Oct 2008","","","","35","","",""
"Jean-louis Aubert","Live = vivant","album",""," 723.794","Dec 2012","Jun 2013","","","","8","","",""
"Jean-louis Aubert","Manu","song","","   6.529","Jun 2014","Jun 2014","","","","159","","",""
"Jean-louis Aubert","Marcelle","song","","  10.803","Mar 2012","Apr 2012","","","","183","","",""
"Jean-louis Aubert","Milliers, millions, milliards","song",""," 141.426","Nov 2002","Dec 2002","","","","88","","",""
"Jean-louis Aubert","Parle-moi","song",""," 525.386","Dec 2005","Apr 2006","","","","29","","",""
"Jean-louis Aubert","Premieres prises","album","","1428.369","Mar 2009","Jan 2012","","","","16","","",""
"Jean-louis Aubert","Puisses-tu","song","","  18.709","Jul 2011","Mar 2012","","","","100","","",""
"Jean-louis Aubert","Refuge","album","","2930.069","Nov 2019","Apr 2021","","","","5","","",""
"Jean-louis Aubert","Roc-eclair","album","","4873.548","Dec 2010","Mar 2013","","","","2","","",""
"Jean-louis Aubert","Temps a nouveau","song","","   4.816","May 2014","May 2014","","","","180","","",""
"Jean-louis Aubert","Vingt ans","song","","   5.049","Oct 2012","Oct 2012","","","","193","","",""
"Jeanette","Bad Girls Club","song",""," 304.626","Nov 2005","Dec 2005","","","33","","","",""
"Jeanette","Break On Through","album","","3622.912","Nov 2003","Oct 2004","","","6","","","",""
"Jeanette","Delicious","album","","2040.757","Nov 2001","May 2002","","","16","","","",""
"Jeanette","Endless Love","song",""," 251.470","Mar 2006","May 2006","","","22","","","",""
"Jeanette","Enjoy!","album","","1287.275","Dec 2000","Mar 2001","","","39","","","",""
"Jeanette","Go Back...","song","","1497.305","Oct 2000","Mar 2001","","","8","","","",""
"Jeanette","Heat Of The Summer","song",""," 132.301","Aug 2006","Sep 2006","","","50","","","",""
"Jeanette","Hold The Line","song",""," 604.137","Jul 2004","Sep 2004","","","11","","","",""
"Jeanette","How It's Got To Be","song","","1233.583","Oct 2001","Feb 2002","","","7","","","",""
"Jeanette","It's Over Now","song",""," 716.718","Mar 2003","Jun 2003","","","6","","","",""
"Jeanette","Material Boy (Don't Look Back)","song",""," 138.819","Jun 2009","Jul 2009","","","43","","","",""
"Jeanette","Merry Christmas","album",""," 644.879","Dec 2004","Jan 2005","","","22","","","",""
"Jeanette","Naked Truth","album",""," 456.804","Apr 2006","May 2006","","","14","","","",""
"Jeanette","Naked Truth - Live At Bad Girls Club [DVD]","album","","  81.672","Sep 2006","Sep 2006","","","53","","","",""
"Jeanette","No Eternity","song",""," 537.238","Mar 2004","May 2004","","","9","","","",""
"Jeanette","No More Tears","song",""," 921.646","Mar 2002","Jun 2002","","","9","","","",""
"Jeanette","Porque te vas","song","","   3.202","Aug 2012","Aug 2012","","","","","","",""
"Jeanette","Right Now","song",""," 929.377","Jul 2003","Oct 2003","","","4","","","",""
"Jeanette","Rock My Life","album","","3581.203","Dec 2002","Nov 2003","","","7","","","",""
"Jeanette","Rock My Life","song","","1266.778","Nov 2002","Feb 2003","","","3","","","",""
"Jeanette","Rock My Life Tour 2003 [DVD]","album","","  58.516","Dec 2003","Dec 2003","","","81","","","",""
"Jeanette","Rockin' On Heaven's Floor","song","","1041.509","Oct 2003","Feb 2004","","","3","","","",""
"Jeanette","Run With Me","song",""," 792.593","Nov 2004","Feb 2005","","","3","","","",""
"Jeanette","Solitary Rose","song",""," 305.528","Nov 2009","Dec 2009","","","15","","","",""
"Jeanette","Sunny Day","song",""," 663.419","Jul 2002","Oct 2002","","","12","","","",""
"Jeanette","The Infant Light","song",""," 460.805","Dec 2004","Feb 2005","","","11","","","",""
"Jeanette","Undress To The Beat","album",""," 433.744","Apr 2009","May 2009","","","13","","","",""
"Jeanette","Undress To The Beat","song",""," 692.285","Mar 2009","May 2009","","","6","","","",""
"Jeanette","Will You Be There","song",""," 430.833","Mar 2001","May 2001","","","28","","","",""
"Jeezy & Jay-Z","Seen It All","song",""," 137.731","Sep 2014","Oct 2014","85","","","","","",""
"Jeff Beck & Joss Stone","I Put A Spell On You","song","","  28.571","Jun 2010","Jun 2010","","","72","","","",""
"Jenifer","Appelle-moi Jen","album",""," 977.963","Dec 2010","Mar 2012","","","","13","","",""
"Jenifer","Au soleil","song","","1881.873","Jul 2002","Aug 2003","","","","2","","",""
"Jenifer","Aujourd'hui","song","","   7.952","Oct 2016","Oct 2016","","","","151","","",""
"Jenifer","C'est de l'or","song",""," 793.463","Feb 2005","Jul 2005","","","","14","","",""
"Jenifer","Comme un hic","song",""," 700.627","Mar 2008","Sep 2008","","","","10","","",""
"Jenifer","Des mots qui resonnent!","song","","1470.822","Dec 2002","May 2003","","","","4","","",""
"Jenifer","Donne-moi le temps","song","","1437.436","Apr 2003","Mar 2013","","","","8","","",""
"Jenifer","Ella, elle l'a","song","","  13.539","Jun 2013","Jun 2013","","","","90","","",""
"Jenifer","Evidemment","song","","  12.732","Jun 2013","Jun 2013","","","","97","","",""
"Jenifer","J'attends l'amour","song","","1205.755","Apr 2002","Aug 2002","","","","2","","",""
"Jenifer","Je danse","song",""," 185.433","Jan 2011","Apr 2011","","","","29","","",""
"Jenifer","Jenifer","album","","9591.216","Mar 2002","Apr 2004","","","","2","","",""
"Jenifer","Jenifer fait son live","album","","1706.021","Oct 2005","May 2006","","","","6","","",""
"Jenifer","L'air du vent","song","","  70.926","Dec 2013","Mar 2014","","","","43","","",""
"Jenifer","L'amour & moi","album","","1530.711","Sep 2012","Feb 2014","","","","3","","",""
"Jenifer","L'amour & moi","song",""," 325.611","Sep 2012","Apr 2013","","","","26","","",""
"Jenifer","L'amour fou","song","","  14.704","Oct 2011","Nov 2011","","","","86","","",""
"Jenifer","L'envers du paradis","song","","  86.829","May 2011","Jul 2011","","","","59","","",""
"Jenifer","La declaration d'amour","song","","   8.180","Jun 2013","Jun 2013","","","","148","","",""
"Jenifer","Le passage","album","","7120.113","May 2004","Feb 2006","","","","2","","",""
"Jenifer","Le souvenir de ce jour","song","","1234.724","Sep 2004","Mar 2005","","","","6","","",""
"Jenifer","Les jours electriques","song",""," 147.059","Mar 2013","May 2013","","","","52","","",""
"Jenifer","Lunatique","album","","3480.604","Nov 2007","Jul 2009","","","","1","","",""
"Jenifer","Ma declaration","album","","1116.105","Jun 2013","May 2014","","","","2","","",""
"Jenifer","Ma revolution","song","","1193.575","Jun 2004","Nov 2004","","","","9","","",""
"Jenifer","Message personnel","song","","   5.489","Jun 2013","Jun 2013","","","","190","","",""
"Jenifer","Mon fils, ma bataille","song","","  18.817","Jan 2016","Jan 2016","","","","55","","",""
"Jenifer","Mourir dans tes yeux","song","","  79.275","Sep 2016","Nov 2016","","","","34","","",""
"Jenifer","Notre idylle","song","","  32.541","Sep 2018","Nov 2018","","","","135","","",""
"Jenifer","Nouvelle page","album","","3573.226","Nov 2018","Sep 2020","","","","2","","",""
"Jenifer","Paradis secret","album",""," 334.882","Nov 2016","Jan 2017","","","","8","","",""
"Jenifer","Paradis secret","song",""," 152.542","Jun 2016","Nov 2016","","","","7","","",""
"Jenifer","Poupee de cire poupee de son","song",""," 189.243","May 2013","Jul 2013","","","","21","","",""
"Jenifer","Resiste","song","","  28.493","Jun 2013","Jul 2013","","","","85","","",""
"Jenifer","Serre-moi","song",""," 742.981","Sep 2005","Feb 2006","","","","25","","",""
"Jenifer","Si maman si","song","","  10.712","Jun 2013","Jun 2013","","","","117","","",""
"Jenifer","Sur le fil","song",""," 458.491","Jun 2012","Apr 2013","","","","24","","",""
"Jenifer","Tourner ma page","song","","1095.590","Nov 2007","Apr 2008","","","","3","","",""
"Jenifer & Chjami Aghjalesi","Diego, libre dans sa tete","song","","   7.074","Jun 2013","Jun 2013","","","","164","","",""
"Jenifer & Slimane","Les choses simples","song","","   7.397","May 2019","May 2019","","","","183","","",""
"Jennifer Hudson & Ne-Yo & Rick Ross","Think Like A Man","song",""," 113.244","Apr 2012","May 2012","90","","","","","",""
"Jennifer Hudson & The Roots","Let It Be","song","","  66.466","Jan 2010","Feb 2010","98","97","","","","",""
"Jennifer Lopez","(What Is) Love?","song","","   4.838","May 2011","May 2011","","","","","","",""
"Jennifer Lopez","A.K.A.","album","","1573.466","Jun 2014","Aug 2014","8","41","24","70","12","24",""
"Jennifer Lopez","Ain't Your Mama","song","","3297.385","Apr 2016","Apr 2017","76","","5","11","34","",""
"Jennifer Lopez","Baby I Love U","song","","1746.049","Mar 2004","Aug 2004","72","3","","","","",""
"Jennifer Lopez","Brave","album","","2728.635","Oct 2007","Dec 2007","12","24","41","28","","46",""
"Jennifer Lopez","Como ama una mujer","album","","7104.666","Mar 2007","Nov 2007","10","","4","11","","",""
"Jennifer Lopez","Dance Again ... The Hits","album","","3142.294","Jul 2012","Feb 2020","20","4","15","12","3","20",""
"Jennifer Lopez","Do It Well","song","","3331.163","Sep 2007","Feb 2008","31","11","30","29","23","18",""
"Jennifer Lopez","El anillo","song",""," 140.525","May 2018","Sep 2018","","","","164","","",""
"Jennifer Lopez","First Love","song",""," 231.816","Jun 2014","Jul 2014","87","63","","193","","",""
"Jennifer Lopez","Get Right","song","686","9706.915","Jan 2005","Jun 2005","12","1","7","2","","3",""
"Jennifer Lopez","Hold It Don't Drop It","song",""," 104.988","Jan 2008","Feb 2008","","72","","","","",""
"Jennifer Lopez","I'm Glad","song","1878","4995.121","May 2003","Oct 2003","32","11","44","","","10",""
"Jennifer Lopez","I'm Gonna Be Alright","song","462","12014.382","Apr 2002","Jan 2003","10","3","6","12","","16",""
"Jennifer Lopez","J Lo","album","110","69588.887","Jan 2001","Jan 2003","1","2","1","6","1","2",""
"Jennifer Lopez","J To Tha L-O - The Remixes","album","460","31914.792","Feb 2002","Mar 2003","1","4","5","14","","11",""
"Jennifer Lopez","Jenny From The Block","song","328","13882.486","Oct 2002","Apr 2003","3","3","7","5","","5",""
"Jennifer Lopez","Let's Get Loud","song","","2671.124","May 2000","Feb 2001","","","13","40","","9",""
"Jennifer Lopez","Love Don't Cost A Thing","song","283","14591.193","Dec 2000","May 2001","3","1","6","5","","4",""
"Jennifer Lopez","Love?","album","","8574.621","May 2011","Dec 2011","5","6","4","7","2","9",""
"Jennifer Lopez","On The 6","album","1126","16205.908","Jan 2000","Nov 2001","46","49","22","50","","42",""
"Jennifer Lopez","Papi","song",""," 712.565","Apr 2011","Mar 2012","96","67","","28","50","",""
"Jennifer Lopez","Play","song","795","8960.066","Apr 2001","Aug 2001","18","3","19","20","","14",""
"Jennifer Lopez","Que hiciste","song","","1438.847","Mar 2007","Sep 2007","86","","10","","","",""
"Jennifer Lopez","Que ironia (Ain't It Funny)","song",""," 149.555","Jul 2001","Sep 2001","","","","","","",""
"Jennifer Lopez","Rebirth","album","1255","14814.943","Feb 2005","Sep 2005","2","8","3","7","2","10",""
"Jennifer Lopez","The Reel Me","album","","1299.897","Nov 2003","Jan 2004","69","","","84","","",""
"Jennifer Lopez","This Is Me... Then","album","354","37867.965","Nov 2002","Aug 2004","2","13","4","4","5","14",""
"Jennifer Lopez","Waiting For Tonight","song","1817","5164.796","Jan 2000","Mar 2000","14","41","15","16","","4",""
"Jennifer Lopez & Fat Joe","Hold You Down","song","","2902.886","Mar 2005","Aug 2005","64","6","44","","","17",""
"Jennifer Lopez & Flo-Rida","Goin' In","song","","  57.244","Aug 2012","Aug 2012","","","67","","","",""
"Jennifer Lopez & French Montana","I Luh Ya Papi","song",""," 142.620","Mar 2014","Apr 2014","77","","","","","",""
"Jennifer Lopez & French Montana","Medicine","song","","   7.048","Apr 2019","Apr 2019","","","","","91","",""
"Jennifer Lopez & Gente De Zona","Ni tu ni yo","song",""," 147.200","Jul 2017","Oct 2017","","","","82","","",""
"Jennifer Lopez & Iggy Azalea","Booty","song",""," 849.809","Oct 2014","Dec 2014","18","","78","93","11","27",""
"Jennifer Lopez & Ja Rule","Ain't It Funny","song","130","18799.437","Jul 2001","Sep 2002","1","3","13","13","","9",""
"Jennifer Lopez & Ja Rule","I'm Real","song","48","22322.087","Jul 2001","May 2002","1","4","11","3","","3",""
"Jennifer Lopez & Lil' Wayne","I'm Into You","song","","2825.266","Apr 2011","Dec 2011","41","9","16","38","","45",""
"Jennifer Lopez & Lin-Manuel Miranda","Love Make The World Go Round","song","","  92.522","Jul 2016","Aug 2016","72","","","","","",""
"Jennifer Lopez & LL Cool J","All I Have","song","310","14252.083","Dec 2002","Jul 2003","1","2","19","29","","2",""
"Jennifer Lopez & Maluma","Pa' ti","song","","  23.323","Oct 2020","Nov 2020","","","","","","",""
"Jennifer Lopez & Marc Anthony","Olvidame y pega la vuelta","song","","  13.211","Nov 2016","Dec 2016","","","","","","",""
"Jennifer Lopez & Ozuna","El anillo Remix","song","","  48.811","Jul 2018","Sep 2018","","","","","","",""
"Jennifer Lopez & Pitbull","Live It Up","song","","1242.818","May 2013","Sep 2013","60","17","36","67","16","20",""
"Jennifer Lopez & Pitbull","On The Floor","song","338","13796.776","Feb 2011","Aug 2013","3","1","1","1","1","1",""
"Jennifer Lopez & Pitbull","To Dance Again","song","","4089.814","Apr 2012","Jun 2013","17","11","14","15","4","28",""
"Jennifer Lopez & Wisin","Amor, amor, amor","song","","  27.183","Nov 2017","Dec 2017","","","","120","","",""
"Jennifer Lopez, Big Pun & Fat Joe","Feelin' So Good","song","1819","5102.326","Feb 2000","Jun 2000","51","15","39","","","20",""
"Jennifer Lopez, DJ Khaled & Cardi B","Dinero","song",""," 134.552","May 2018","Jun 2018","80","","","140","75","",""
"Jennifer Lopez, Ja Rule & Caddillac Tah","Ain't It Funny (Murder Remix)","song",""," 796.205","Mar 2002","Jun 2002","","","18","","","",""
"Jeremih","All About You","album","","1477.366","Oct 2010","May 2011","27","","","","","",""
"Jeremih","Birthday Sex","song","","3987.207","Apr 2009","Nov 2010","4","15","","34","35","37",""
"Jeremih","Imma Star (Everywhere We Are)","song","","1625.263","Aug 2009","Dec 2009","51","","","","","",""
"Jeremih","Jeremih","album","","3636.256","Jul 2009","Dec 2009","6","95","","100","","",""
"Jeremih","Late Nights: The Album","album","","9583.896","Dec 2015","Apr 2017","42","","","","","",""
"Jeremih","oui","song","","3706.847","Jan 2016","Jul 2016","19","","","","","",""
"Jeremih & 50 Cent","Down On Me","song","1769","5260.158","Nov 2010","Oct 2013","4","30","","19","22","",""
"Jeremih & Flo-Rida","Tonight Belongs To U!","song",""," 131.769","May 2015","Aug 2015","","80","","73","","",""
"Jeremih & J Cole","Planes","song","","1892.615","Jun 2015","Oct 2015","44","","","","","",""
"Jeremih & Ty Dolla $ign","MIH-TY","album",""," 324.089","Nov 2018","Nov 2018","60","","","","","",""
"Jeremih & YG","Don't Tell 'Em","song","1250","6691.597","Jul 2014","Mar 2015","6","5","57","43","30","14",""
"Jeremy Camp","Beyond Measure","album","","3101.882","Nov 2006","Aug 2008","29","","","","","",""
