artist,name,category,position,score,from,to,us,uk,de,fr,ca,au
"2Pac","Loyal To The Game","album","1224","15180.916","Dec 2004","Sep 2005","1","20","50","55","7","21",""
"2Pac","Nu Mixx Klazzics Vol. 2 (Evolution: Duets And Remixes)","album",""," 629.632","Sep 2007","Sep 2007","45","","","","","",""
"2Pac","Nu-Mixx Klazzics","album","","3470.156","Oct 2003","Dec 2003","15","","","","","",""
"2Pac","Pac's Life","album","","4140.166","Nov 2006","Mar 2007","9","90","","83","","",""
"2Pac","Resurrection","album","","2984.013","Nov 2003","Apr 2004","","62","76","57","","",""
"2Pac","The Best Of 2Pac - Part 1: Thug","album","","3510.561","Dec 2007","Mar 2021","65","76","","","","",""
"2Pac","The Best Of 2Pac - Part 2: Life","album",""," 544.370","Dec 2007","Jan 2008","77","","","","","",""
"2Pac","The Lost Tapes","album",""," 176.650","May 2000","May 2000","178","","","","","",""
"2Pac","The Rose That Grew From Concrete Volume 1","album",""," 917.254","Dec 2000","Jan 2001","89","","","","","",""
"2Pac","They're Tryin' To Kill Me","song","","  25.665","Jul 2000","Aug 2000","","","","","","36",""
"2Pac","Until The End Of Time","album","679","24290.691","Apr 2001","Oct 2001","1","31","23","38","2","37",""
"2Pac","Until The End Of Time","song","1722","5346.347","Apr 2001","Sep 2001","52","4","33","39","","34",""
"2Pac & Elton John","Ghetto Gospel","song","1736","5310.832","May 2005","Jun 2006","","1","3","","","1",""
"2pac & Eminem","One Day At A Time","song",""," 877.012","Feb 2004","Mar 2004","80","","","","","",""
"2Pac & Nate Dogg","Thugs Get Lonely Too","song",""," 585.979","Jan 2005","Feb 2005","98","","","","","",""
"2Pac & Notorious BIG","Runnin","song",""," 660.761","Oct 2003","Nov 2003","47","","","","","",""
"2Pac & Notorious BIG","Runnin' (Dying To Live)","song","1100","7291.684","Nov 2003","May 2004","19","17","12","28","","",""
"2Pac & Outlawz","Baby Don't Cry (Keep Ya Head Up II)","song","","2038.102","Feb 2000","Apr 2000","72","","25","","","",""
"2Pac & Outlawz","Still I Rise","album","1308","14325.252","Jan 2000","May 2000","6","75","24","","","",""
"2Pac & Trick Daddy","Still Ballin","song","","3390.162","Apr 2003","Aug 2003","69","","","","","",""
"2Pac, Nas & J Phoenix","Thugz Mansion","song","1301","6480.561","Dec 2002","Apr 2003","19","24","74","","","26",""
"2Pac, T.I. & Ashanti","Pac's Life","song",""," 672.077","Dec 2006","Mar 2007","","21","31","","","34",""
"30 Seconds To Mars","30 Seconds To Mars","album",""," 895.688","Sep 2002","Oct 2002","107","","","142","","",""
"30 Seconds To Mars","A Beautiful Lie","album","654","25122.269","Sep 2005","May 2008","36","38","30","87","","20",""
"30 Seconds To Mars","A Beautiful Lie","song","","  32.970","Mar 2008","Mar 2008","","","92","","","",""
"30 Seconds To Mars","America","album","","3620.966","Apr 2018","Jul 2018","2","4","1","10","3","10",""
"30 Seconds To Mars","City Of Angels","song","","  18.990","Nov 2013","Dec 2013","","","92","","","",""
"30 Seconds To Mars","Closer To The Edge","song","","1318.579","Jul 2010","May 2011","99","44","26","","","13",""
"30 Seconds To Mars","Dangerous Night","song","","  42.203","Feb 2018","Feb 2018","","","78","117","","",""
"30 Seconds To Mars","From Yesterday","song","","1283.015","Feb 2007","Mar 2008","76","37","72","","","33",""
"30 Seconds To Mars","Kings And Queens","song","","1139.867","Oct 2009","Sep 2011","82","28","39","","","",""
"30 Seconds To Mars","Love Lust Faith + Dreams","album","","5538.542","May 2013","May 2015","6","5","3","16","6","4",""
"30 Seconds To Mars","MTV Unplugged","album",""," 140.493","Sep 2011","Sep 2011","76","","","","","",""
"30 Seconds To Mars","Stay","song","","  10.040","Dec 2016","Dec 2016","","","","121","","",""
"30 Seconds To Mars","The Kill (Bury Me)","song","","3922.176","Aug 2006","Oct 2014","65","52","36","","","20",""
"30 Seconds To Mars","The Kill (Rebirth)","song",""," 472.587","Sep 2007","Nov 2007","","28","","","","",""
"30 Seconds To Mars","This Is War","album","1618","11792.448","Dec 2009","Dec 2011","19","15","12","96","","18",""
"30 Seconds To Mars","This Is War","song",""," 218.908","Dec 2009","May 2010","72","51","79","","","",""
"30 Seconds To Mars","Up In The Air","song",""," 372.316","Mar 2013","Jul 2013","","45","47","76","","",""
"30 Seconds To Mars","Walk On Water","song","","  97.074","Aug 2017","Dec 2017","","87","84","54","","",""
"311","Archive","album",""," 157.987","Jul 2015","Jul 2015","126","","","","","",""
